GEO_ID,NAME,B01003_001E,B01003_001M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
0400000US29,Missouri,6090062,*****
1600000US2938000,"Kansas City city, Missouri",481417,143
1600000US2965000,"St. Louis city, Missouri",311273,*****
1600000US2970000,"Springfield city, Missouri",166633,84
1600000US2915670,"Columbia city, Missouri",120248,60
1600000US2935000,"Independence city, Missouri",117207,51
1600000US2941348,"Lee's Summit city, Missouri",96325,232
1600000US2954074,"O'Fallon city, Missouri",86340,62
1600000US2964550,"St. Joseph city, Missouri",76465,42
1600000US2964082,"St. Charles city, Missouri",69576,50
1600000US2965126,"St. Peters city, Missouri",56838,84
1600000US2906652,"Blue Springs city, Missouri",54370,44
1600000US2924778,"Florissant city, Missouri",51744,46
1600000US2937592,"Joplin city, Missouri",50073,71
1600000US2913600,"Chesterfield city, Missouri",47663,50
1600000US2937000,"Jefferson City city, Missouri",43013,32
1600000US2911242,"Cape Girardeau city, Missouri",39323,38
1600000US2978442,"Wentzville city, Missouri",37485,36
1600000US2953876,"Oakville CDP, Missouri",36827,802
1600000US2979820,"Wildwood city, Missouri",35517,52
1600000US2975220,"University City city, Missouri",34653,33
1600000US2942032,"Liberty city, Missouri",30928,41
1600000US2903160,"Ballwin city, Missouri",30332,44
1600000US2960788,"Raytown city, Missouri",29216,30
1600000US2947180,"Mehlville CDP, Missouri",28376,1153
1600000US2939044,"Kirkwood city, Missouri",27693,42
1600000US2946586,"Maryland Heights city, Missouri",27128,61
1600000US2927190,"Gladstone city, Missouri",26995,60
1600000US2931276,"Hazelwood city, Missouri",25399,36
1600000US2928324,"Grandview city, Missouri",25174,85
1600000US2904384,"Belton city, Missouri",23348,51
1600000US2978154,"Webster Groves city, Missouri",23029,38
1600000US2966440,"Sedalia city, Missouri",21642,28
1600000US2952616,"Nixa city, Missouri",21113,32
1600000US2901972,"Arnold city, Missouri",21107,35
1600000US2923986,"Ferguson city, Missouri",20931,36
1600000US2960752,"Raymore city, Missouri",20743,41
1600000US2900280,"Affton CDP, Missouri",20187,917
1600000US2962912,"Rolla city, Missouri",20117,32
1600000US2977092,"Warrensburg city, Missouri",20025,29
1600000US2954352,"Old Jamestown CDP, Missouri",19439,1072
1600000US2955766,"Ozark city, Missouri",19418,36
1600000US2917272,"Creve Coeur city, Missouri",18445,53
1600000US2923752,"Farmington city, Missouri",18269,24
1600000US2945668,"Manchester city, Missouri",18189,42
1600000US2969266,"Spanish Lake CDP, Missouri",18048,1100
1600000US2916030,"Concord CDP, Missouri",17652,767
1600000US2930214,"Hannibal city, Missouri",17575,166
1600000US2939026,"Kirksville city, Missouri",17483,24
1600000US2959096,"Poplar Bluff city, Missouri",17107,88
1600000US2941438,"Lemay CDP, Missouri",16814,1018
1600000US2914572,"Clayton city, Missouri",16448,26
1600000US2967790,"Sikeston city, Missouri",16366,242
1600000US2961238,"Republic city, Missouri",16044,20
1600000US2925264,"Fort Leonard Wood CDP, Missouri",15882,783
1600000US2955550,"Overland city, Missouri",15787,48
1600000US2940043,"Lake St. Louis city, Missouri",15646,30
1600000US2935648,"Jackson city, Missouri",14826,28
1600000US2937178,"Jennings city, Missouri",14794,24
1600000US2911656,"Carthage city, Missouri",14690,40
1600000US2941168,"Lebanon city, Missouri",14637,24
1600000US2977416,"Washington city, Missouri",13987,24
1600000US2949034,"Moberly city, Missouri",13762,29
1600000US2928090,"Grain Valley city, Missouri",13715,26
1600000US2918253,"Dardenne Prairie city, Missouri",13139,47
1600000US2946316,"Marshall city, Missouri",13001,38
1600000US2963956,"St. Ann city, Missouri",12853,71
1600000US2926182,"Fulton city, Missouri",12799,24
1600000US2978928,"West Plains city, Missouri",12222,35
1600000US2951572,"Neosho city, Missouri",12009,31
1600000US2924094,"Festus city, Missouri",11970,29
1600000US2917218,"Crestwood city, Missouri",11881,35
1600000US2973942,"Troy city, Missouri",11771,24
1600000US2946640,"Maryville city, Missouri",11771,36
1600000US2908398,"Bridgeton city, Missouri",11690,44
1600000US2923086,"Excelsior Springs city, Missouri",11575,100
1600000US2978118,"Webb City city, Missouri",11572,25
1600000US2947648,"Mexico city, Missouri",11544,25
1600000US2907966,"Branson city, Missouri",11345,35
1600000US2974626,"Union city, Missouri",11274,60
1600000US2973618,"Town and Country city, Missouri",11066,36
1600000US2906976,"Bolivar city, Missouri",10760,25
1600000US2904222,"Bellefontaine Neighbors city, Missouri",10613,27
1600000US2922834,"Eureka city, Missouri",10575,30
1600000US2938306,"Kennett city, Missouri",10225,341
1600000US2930610,"Harrisonville city, Missouri",10023,34
1600000US2938072,"Kearney city, Missouri",9778,22
1600000US2910828,"Cameron city, Missouri",9665,285
1600000US2921898,"Ellisville city, Missouri",9581,29
1600000US2968420,"Smithville city, Missouri",9541,24
1600000US2913690,"Chillicothe city, Missouri",9136,253
1600000US2914986,"Clinton city, Missouri",9107,278
1600000US2904906,"Berkeley city, Missouri",8991,28
1600000US2949196,"Monett city, Missouri",8917,39
1600000US2939656,"Ladue city, Missouri",8586,47
1600000US2956272,"Park Hills city, Missouri",8568,21
1600000US2919270,"Des Peres city, Missouri",8567,39
1600000US2971746,"Sunset Hills city, Missouri",8488,24
1600000US2961706,"Richmond Heights city, Missouri",8457,40
1600000US2958394,"Pleasant Hill city, Missouri",8418,46
1600000US2907318,"Boonville city, Missouri",8410,26
1600000US2957116,"Perryville city, Missouri",8403,27
1600000US2951644,"Nevada city, Missouri",8252,468
1600000US2950834,"Murphy CDP, Missouri",8163,472
1600000US2977128,"Warrenton city, Missouri",8129,32
1600000US2908236,"Brentwood city, Missouri",8023,21
1600000US2945830,"Maplewood city, Missouri",8008,24
1600000US2953624,"Oak Grove city, Missouri",8008,81
1600000US2911368,"Carl Junction city, Missouri",7995,24
1600000US2919396,"Dexter city, Missouri",7885,27
1600000US2954650,"Olivette city, Missouri",7837,30
1600000US2965954,"Sappington CDP, Missouri",7577,619
1600000US2902548,"Aurora city, Missouri",7435,25
1600000US2946388,"Marshfield city, Missouri",7226,52
1600000US2907102,"Bonne Terre city, Missouri",7110,17
1600000US2906004,"Black Jack city, Missouri",6943,22
1600000US2975472,"Valley Park city, Missouri",6832,36
1600000US2956288,"Parkville city, Missouri",6524,33
1600000US2971440,"Sullivan city, Missouri",6496,430
1600000US2964478,"St. John city, Missouri",6432,19
1600000US2919252,"De Soto city, Missouri",6390,16
1600000US2955910,"Pacific city, Missouri",6329,100
1600000US2903394,"Barnhart CDP, Missouri",6318,702
1600000US2967700,"Shrewsbury city, Missouri",6166,17
1600000US2903592,"Battlefield city, Missouri",6104,22
1600000US2929494,"Greenwood city, Missouri",6092,132
1600000US2927334,"Glendale city, Missouri",5888,25
1600000US2973816,"Trenton city, Missouri",5846,80
1600000US2957278,"Pevely city, Missouri",5784,18
1600000US2965144,"St. Robert city, Missouri",5767,19
1600000US2911692,"Caruthersville city, Missouri",5760,18
1600000US2913366,"Charleston city, Missouri",5704,17
1600000US2961670,"Richmond city, Missouri",5606,17
1600000US2978314,"Weldon Spring city, Missouri",5545,25
1600000US2907660,"Bowling Green city, Missouri",5501,44
1600000US2979882,"Willard city, Missouri",5453,22
1600000US2945326,"Macon city, Missouri",5379,29
1600000US2977992,"Waynesville city, Missouri",5262,22
1600000US2954038,"Odessa city, Missouri",5189,24
1600000US2966044,"Savannah city, Missouri",5124,24
1600000US2956756,"Peculiar city, Missouri",5006,14
1600000US2927226,"Glasgow Village CDP, Missouri",4981,920
1600000US2965234,"Salem city, Missouri",4939,30
1600000US2952796,"Normandy city, Missouri",4931,19
1600000US2919018,"Dellwood city, Missouri",4912,17
1600000US2955244,"Osage Beach city, Missouri",4909,327
1600000US2958178,"Platte City city, Missouri",4905,26
1600000US2919216,"Desloge city, Missouri",4896,15
1600000US2916678,"Cottleville city, Missouri",4882,25
1600000US2917632,"Crystal City city, Missouri",4752,30
1600000US2964136,"St. Clair city, Missouri",4693,25
1600000US2908164,"Breckenridge Hills city, Missouri",4654,19
1600000US2962660,"Rock Hill city, Missouri",4637,19
1600000US2931960,"Higginsville city, Missouri",4628,16
1600000US2950402,"Mountain Grove city, Missouri",4608,79
1600000US2921484,"Eldon city, Missouri",4591,19
1600000US2941870,"Lexington city, Missouri",4558,18
1600000US2932662,"Hollister city, Missouri",4504,18
1600000US2966368,"Scott City city, Missouri",4503,21
1600000US2950672,"Mount Vernon city, Missouri",4493,13
1600000US2908650,"Brookfield city, Missouri",4481,142
1600000US2964180,"Ste. Genevieve city, Missouri",4444,16
1600000US2953102,"North Kansas City city, Missouri",4414,17
1600000US2910468,"California city, Missouri",4375,28
1600000US2940376,"Lamar city, Missouri",4329,22
1600000US2934354,"Imperial CDP, Missouri",4279,466
1600000US2945614,"Malden city, Missouri",4244,286
1600000US2912898,"Centralia city, Missouri",4207,15
1600000US2975688,"Vandalia city, Missouri",4178,20
1600000US2910054,"Butler city, Missouri",4164,267
1600000US2932140,"High Ridge CDP, Missouri",4151,504
1600000US2953408,"Northwoods city, Missouri",4148,16
1600000US2964424,"St. James city, Missouri",4112,22
1600000US2979432,"Whiteman AFB CDP, Missouri",4093,445
1600000US2980962,"Woodson Terrace city, Missouri",4062,20
1600000US2923950,"Fenton city, Missouri",4034,20
1600000US2925768,"Fredericktown city, Missouri",3990,27
1600000US2910810,"Camdenton city, Missouri",3977,19
1600000US2931708,"Herculaneum city, Missouri",3935,41
1600000US2902242,"Ashland city, Missouri",3905,18
1600000US2932770,"Holts Summit city, Missouri",3720,19
1600000US2962894,"Rogersville city, Missouri",3644,207
1600000US2911566,"Carrollton city, Missouri",3637,206
1600000US2956036,"Palmyra city, Missouri",3607,21
1600000US2981124,"Wright City city, Missouri",3593,18
1600000US2921502,"El Dorado Springs city, Missouri",3545,12
1600000US2926110,"Frontenac city, Missouri",3525,20
1600000US2957800,"Pine Lawn city, Missouri",3513,13
1600000US2973420,"Tipton city, Missouri",3369,36
1600000US2917668,"Cuba city, Missouri",3340,22
1600000US2971368,"Sugar Creek city, Missouri",3309,24
1600000US2955964,"Pagedale city, Missouri",3291,40
1600000US2911890,"Cassville city, Missouri",3289,17
1600000US2944174,"Louisiana city, Missouri",3272,44
1600000US2962156,"Riverside city, Missouri",3255,29
1600000US2932248,"Hillsboro city, Missouri",3105,66
1600000US2921052,"East Prairie city, Missouri",3096,21
1600000US2959186,"Portageville city, Missouri",3074,16
1600000US2905068,"Bethany city, Missouri",3065,143
1600000US2909424,"Buckner city, Missouri",3058,24
1600000US2958520,"Pleasant Valley city, Missouri",3033,18
1600000US2909514,"Buffalo city, Missouri",3032,12
1600000US2980350,"Windsor city, Missouri",2990,348
1600000US2952076,"New Madrid city, Missouri",2945,20
1600000US2910240,"Byrnes Mill city, Missouri",2944,30
1600000US2912988,"Chaffee city, Missouri",2920,19
1600000US2902674,"Ava city, Missouri",2916,14
1600000US2962192,"Riverview village, Missouri",2872,29
1600000US2942464,"Licking city, Missouri",2844,470
1600000US2950204,"Moscow Mills city, Missouri",2829,24
1600000US2916802,"Country Club village, Missouri",2810,351
1600000US2939188,"Knob Noster city, Missouri",2770,35
1600000US2975922,"Versailles city, Missouri",2760,331
1600000US2904366,"Bel-Ridge village, Missouri",2718,23
1600000US2938612,"Kimberling City city, Missouri",2714,494
1600000US2931132,"Hayti city, Missouri",2714,18
1600000US2916102,"Concordia city, Missouri",2697,318
1600000US2923842,"Fayette city, Missouri",2694,22
1600000US2949574,"Montgomery City city, Missouri",2685,16
1600000US2948062,"Milan city, Missouri",2670,242
1600000US2972772,"Terre du Lac CDP, Missouri",2663,449
1600000US2950438,"Mountain View city, Missouri",2658,17
1600000US2914176,"Clarkson Valley city, Missouri",2640,42
1600000US2929324,"Green Park city, Missouri",2628,26
1600000US2957422,"Piedmont city, Missouri",2621,349
1600000US2959330,"Potosi city, Missouri",2617,22
1600000US2911134,"Canton city, Missouri",2616,174
1600000US2928918,"Gray Summit CDP, Missouri",2594,461
1600000US2911908,"Castle Point CDP, Missouri",2593,548
1600000US2914788,"Clever city, Missouri",2592,16
1600000US2955640,"Owensville city, Missouri",2580,43
1600000US2954920,"Oronogo city, Missouri",2580,34
1600000US2966674,"Seneca city, Missouri",2570,376
1600000US2933238,"Houston city, Missouri",2559,303
1600000US2925192,"Forsyth city, Missouri",2536,24
1600000US2976192,"Villa Ridge CDP, Missouri",2497,432
1600000US2949394,"Monroe City city, Missouri",2487,256
1600000US2977146,"Warsaw city, Missouri",2469,351
1600000US2946208,"Marlborough village, Missouri",2457,364
1600000US2932572,"Holden city, Missouri",2453,306
1600000US2965108,"St. Paul city, Missouri",2431,266
1600000US2952742,"Noel city, Missouri",2424,349
1600000US2931762,"Hermann city, Missouri",2422,261
1600000US2940988,"Lawson city, Missouri",2363,421
1600000US2949088,"Moline Acres city, Missouri",2355,435
1600000US2946172,"Marionville city, Missouri",2350,423
1600000US2910288,"Cabool city, Missouri",2337,320
1600000US2928108,"Granby city, Missouri",2311,355
1600000US2958250,"Plattsburg city, Missouri",2304,348
1600000US2972826,"Thayer city, Missouri",2292,376
1600000US2940826,"Lathrop city, Missouri",2259,390
1600000US2901198,"Anderson city, Missouri",2254,368
1600000US2919792,"Doniphan city, Missouri",2236,371
1600000US2970558,"Steele city, Missouri",2188,294
1600000US2980098,"Willow Springs city, Missouri",2179,425
1600000US2910864,"Campbell city, Missouri",2165,251
1600000US2911638,"Carterville city, Missouri",2134,326
1600000US2966800,"Seymour city, Missouri",2128,267
1600000US2976157,"Village of Four Seasons village, Missouri",2122,342
1600000US2900514,"Albany city, Missouri",2106,188
1600000US2937790,"Kahoka city, Missouri",2100,189
1600000US2939980,"Lake Lotawana city, Missouri",2092,338
1600000US2906382,"Bloomfield city, Missouri",2086,270
1600000US2968204,"Slater city, Missouri",2061,226
1600000US2971062,"Strafford city, Missouri",2035,292
1600000US2945866,"Marceline city, Missouri",2021,149
1600000US2947520,"Merriam Woods village, Missouri",2001,307
1600000US2975166,"Unionville city, Missouri",1998,184
1600000US2978046,"Weatherby Lake city, Missouri",1967,185
1600000US2922114,"Elsberry city, Missouri",1958,358
1600000US2904960,"Bernie city, Missouri",1957,263
1600000US2951914,"New Haven city, Missouri",1952,299
1600000US2907534,"Bourbon city, Missouri",1946,430
1600000US2976246,"Vinita Park city, Missouri",1931,273
1600000US2977182,"Warson Woods city, Missouri",1915,217
1600000US2965450,"Salisbury city, Missouri",1907,218
1600000US2961562,"Richland city, Missouri",1895,368
1600000US2970576,"Steelville city, Missouri",1888,363
1600000US2966638,"Senath city, Missouri",1847,130
1600000US2920512,"Duquesne village, Missouri",1839,335
1600000US2930196,"Hanley Hills village, Missouri",1832,346
1600000US2970828,"Stockton city, Missouri",1818,307
1600000US2947270,"Memphis city, Missouri",1803,209
1600000US2900244,"Adrian city, Missouri",1793,233
1600000US2978370,"Wellston city, Missouri",1775,230
1600000US2930034,"Hamilton city, Missouri",1771,234
1600000US2940034,"Lake Ozark city, Missouri",1759,306
1600000US2912358,"Cedar Hill CDP, Missouri",1751,320
1600000US2977002,"Wardsville village, Missouri",1731,246
1600000US2926308,"Gallatin city, Missouri",1730,210
1600000US2945848,"Marble Hill city, Missouri",1727,278
1600000US2978856,"Weston city, Missouri",1675,206
1600000US2935468,"Ironton city, Missouri",1674,198
1600000US2939503,"LaBarque Creek CDP, Missouri",1668,400
1600000US2964370,"St. George CDP, Missouri",1666,365
1600000US2940088,"Lakeshire city, Missouri",1658,174
1600000US2943238,"Linn city, Missouri",1654,256
1600000US2969302,"Sparta city, Missouri",1642,268
1600000US2902188,"Ash Grove city, Missouri",1634,196
1600000US2923338,"Fair Grove city, Missouri",1624,235
1600000US2929998,"Hallsville city, Missouri",1579,246
1600000US2971890,"Sweet Springs city, Missouri",1572,191
1600000US2953750,"Oakland city, Missouri",1558,212
1600000US2928036,"Gower city, Missouri",1554,184
1600000US2954758,"Oran city, Missouri",1532,216
1600000US2967178,"Shelbina city, Missouri",1530,200
1600000US2933886,"Huntsville city, Missouri",1527,250
1600000US2910612,"Calverton Park city, Missouri",1518,431
1600000US2972340,"Tarkio city, Missouri",1509,123
1600000US2929206,"Greenfield city, Missouri",1503,235
1600000US2926434,"Garden City city, Missouri",1494,183
1600000US2980314,"Winchester city, Missouri",1482,242
1600000US2913330,"Charlack city, Missouri",1473,268
1600000US2904150,"Belle city, Missouri",1458,224
1600000US2917074,"Crane city, Missouri",1453,242
1600000US2962696,"Rock Port city, Missouri",1452,121
1600000US2945740,"Mansfield city, Missouri",1450,246
1600000US2956144,"Paris city, Missouri",1445,199
1600000US2927874,"Goodman city, Missouri",1441,318
1600000US2961418,"Rich Hill city, Missouri",1425,140
1600000US2914554,"Claycomo village, Missouri",1419,196
1600000US2980512,"Winona city, Missouri",1395,295
1600000US2905878,"Bismarck city, Missouri",1395,209
1600000US2916822,"Country Club Hills city, Missouri",1393,325
1600000US2904348,"Bel-Nor village, Missouri",1389,250
1600000US2941078,"Leadwood city, Missouri",1382,306
1600000US2940520,"La Monte city, Missouri",1380,197
1600000US2920314,"Duenweg city, Missouri",1370,262
1600000US2975796,"Velda City city, Missouri",1367,223
1600000US2940682,"La Plata city, Missouri",1362,188
1600000US2971044,"Stover city, Missouri",1359,265
1600000US2965990,"Sarcoxie city, Missouri",1343,342
1600000US2960176,"Purdy city, Missouri",1338,308
1600000US2932266,"Hillsdale village, Missouri",1335,244
1600000US2946424,"Marthasville city, Missouri",1328,332
1600000US2901702,"Archie city, Missouri",1327,187
1600000US2980422,"Winfield city, Missouri",1321,260
1600000US2957494,"Pierce City city, Missouri",1313,305
1600000US2972304,"Taos city, Missouri",1310,225
1600000US2926866,"Gerald city, Missouri",1300,258
1600000US2933040,"Horine CDP, Missouri",1295,444
1600000US2943760,"Lone Jack city, Missouri",1280,131
1600000US2919630,"Dixon city, Missouri",1256,282
1600000US2900262,"Advance city, Missouri",1246,197
1600000US2967232,"Shell Knob CDP, Missouri",1246,295
1600000US2901522,"Appleton City city, Missouri",1240,227
1600000US2969230,"Southwest City town, Missouri",1238,305
1600000US2921844,"Ellington city, Missouri",1230,216
1600000US2970270,"Stanberry city, Missouri",1222,147
1600000US2914212,"Clarkton city, Missouri",1213,205
1600000US2926974,"Gideon city, Missouri",1202,182
1600000US2902638,"Auxvasse city, Missouri",1183,287
1600000US2965018,"St. Martins city, Missouri",1172,141
1600000US2915436,"Cole Camp city, Missouri",1168,234
1600000US2942536,"Lilbourn city, Missouri",1165,275
1600000US2916228,"Cool Valley city, Missouri",1164,365
1600000US2927208,"Glasgow city, Missouri",1163,158
1600000US2978406,"Wellsville city, Missouri",1157,181
1600000US2943490,"Lockwood city, Missouri",1154,183
1600000US2917344,"Crocker city, Missouri",1152,255
1600000US2946946,"Maysville city, Missouri",1151,217
1600000US2921322,"Edina city, Missouri",1139,137
1600000US2925957,"Fremont Hills city, Missouri",1130,181
1600000US2940340,"Lake Winnebago city, Missouri",1114,136
1600000US2950312,"Mound City city, Missouri",1114,105
1600000US2951824,"New Franklin city, Missouri",1105,195
1600000US2959942,"Princeton city, Missouri",1083,126
1600000US2975580,"Van Buren town, Missouri",1080,253
1600000US2921376,"Edmundson city, Missouri",1067,377
1600000US2932068,"Highlandville city, Missouri",1044,185
1600000US2928630,"Grantwood Village town, Missouri",1038,257
1600000US2933706,"Humansville city, Missouri",1026,202
1600000US2955388,"Osceola city, Missouri",1025,170
1600000US2940916,"Laurie city, Missouri",1024,267
1600000US2939080,"Kissee Mills CDP, Missouri",1002,232
1600000US2954848,"Oregon city, Missouri",997,110
1600000US2956396,"Pasadena Hills city, Missouri",994,150
1600000US2961112,"Reeds Spring city, Missouri",987,236
1600000US2953462,"Norwood Court town, Missouri",985,231
1600000US2905626,"Billings city, Missouri",983,140
1600000US2948656,"Miner city, Missouri",981,206
1600000US2936512,"Jasper city, Missouri",968,205
1600000US2938774,"King City city, Missouri",962,158
1600000US2939764,"La Grange city, Missouri",958,145
1600000US2977866,"Waverly city, Missouri",942,139
1600000US2960284,"Puxico city, Missouri",931,224
1600000US2942608,"Lincoln city, Missouri",926,150
1600000US2919432,"Diamond town, Missouri",921,174
1600000US2975814,"Velda Village Hills city, Missouri",918,171
1600000US2913978,"Clarence city, Missouri",917,133
1600000US2925012,"Fordland city, Missouri",915,163
1600000US2949898,"Morehouse city, Missouri",913,195
1600000US2904798,"Benton city, Missouri",913,168
1600000US2928594,"Grant City town, Missouri",908,89
1600000US2953454,"Norwood city, Missouri",900,249
1600000US2924706,"Flordell Hills city, Missouri",898,360
1600000US2962570,"Rockaway Beach city, Missouri",891,195
1600000US2900424,"Airport Drive village, Missouri",889,207
1600000US2952058,"New London city, Missouri",886,173
1600000US2900298,"Agency village, Missouri",866,222
1600000US2966530,"Seligman city, Missouri",862,240
1600000US2909046,"Brunswick city, Missouri",854,130
1600000US2940610,"Lancaster city, Missouri",853,142
1600000US2940322,"Lake Waukomis city, Missouri",846,131
1600000US2904114,"Bella Villa city, Missouri",841,164
1600000US2952760,"Norborne city, Missouri",830,133
1600000US2904996,"Bertrand city, Missouri",827,124
1600000US2929152,"Greendale city, Missouri",822,184
1600000US2923122,"Exeter city, Missouri",821,170
1600000US2971224,"Sturgeon city, Missouri",820,142
1600000US2923248,"Fairdealing CDP, Missouri",819,398
1600000US2957818,"Pineville city, Missouri",811,159
1600000US2919684,"Doe Run CDP, Missouri",810,436
1600000US2940196,"Lake Tapawingo city, Missouri",809,121
1600000US2931024,"Hawk Point city, Missouri",809,221
1600000US2920134,"Drexel city, Missouri",806,151
1600000US2951302,"Naylor city, Missouri",793,172
1600000US2978352,"Wellington city, Missouri",787,186
1600000US2973978,"Truesdale city, Missouri",781,173
1600000US2906454,"Bloomsdale city, Missouri",772,196
1600000US2931780,"Hermitage city, Missouri",769,167
1600000US2948242,"Miller city, Missouri",756,175
1600000US2943672,"Loma Linda town, Missouri",754,130
1600000US2963704,"Russellville city, Missouri",751,143
1600000US2919828,"Doolittle city, Missouri",745,136
1600000US2951770,"New Florence city, Missouri",739,170
1600000US2976012,"Viburnum city, Missouri",734,143
1600000US2949988,"Morley city, Missouri",726,158
1600000US2946730,"Matthews city, Missouri",726,150
1600000US2900496,"Alba city, Missouri",710,145
1600000US2944282,"Lowry City city, Missouri",710,140
1600000US2905734,"Birch Tree city, Missouri",705,216
1600000US2937574,"Jonesburg city, Missouri",704,154
1600000US2911350,"Cardwell city, Missouri",701,162
1600000US2935240,"Innsbrook village, Missouri",700,207
1600000US2970738,"Stewartsville city, Missouri",697,130
1600000US2905266,"Bevier city, Missouri",696,132
1600000US2960356,"Queen City city, Missouri",694,161
1600000US2957080,"Perry city, Missouri",690,153
1600000US2954938,"Orrick city, Missouri",689,143
1600000US2939512,"La Belle city, Missouri",688,125
1600000US2935450,"Iron Mountain Lake city, Missouri",687,138
1600000US2908038,"Braymer city, Missouri",686,93
1600000US2928860,"Grayhawk CDP, Missouri",686,243
1600000US2926218,"Gainesville city, Missouri",685,154
1600000US2941852,"Lewistown town, Missouri",685,134
1600000US2957656,"Pilot Knob city, Missouri",684,161
1600000US2958448,"Pleasant Hope city, Missouri",684,152
1600000US2976102,"Vienna city, Missouri",678,168
1600000US2934228,"Iberia city, Missouri",674,192
1600000US2916192,"Conway city, Missouri",674,179
1600000US2972034,"Sycamore Hills village, Missouri",673,192
1600000US2927676,"Golden City city, Missouri",671,145
1600000US2922276,"Eminence city, Missouri",666,157
1600000US2945470,"Madison city, Missouri",663,108
1600000US2973852,"Trimble city, Missouri",660,133
1600000US2956342,"Parma city, Missouri",660,153
1600000US2901648,"Arcadia city, Missouri",653,117
1600000US2957602,"Pilot Grove city, Missouri",650,94
1600000US2943468,"Loch Lloyd village, Missouri",649,105
1600000US2979126,"Wheaton city, Missouri",647,175
1600000US2980767,"Wood Heights city, Missouri",646,112
1600000US2977920,"Wayland city, Missouri",646,117
1600000US2941906,"Liberal city, Missouri",644,110
1600000US2926254,"Galena city, Missouri",641,294
1600000US2925120,"Foristell city, Missouri",639,195
1600000US2976840,"Walnut Grove city, Missouri",635,112
1600000US2975346,"Urich city, Missouri",629,149
1600000US2930322,"Hardin city, Missouri",622,138
1600000US2931168,"Hayti Heights city, Missouri",612,175
1600000US2923266,"Fairfax city, Missouri",609,93
1600000US2952418,"Niangua city, Missouri",608,242
1600000US2954686,"Olympian Village city, Missouri",606,144
1600000US2941024,"Leadington city, Missouri",601,248
1600000US2933076,"Hornersville city, Missouri",597,102
1600000US2902422,"Atlanta city, Missouri",594,163
1600000US2978064,"Weaubleau city, Missouri",587,146
1600000US2941132,"Leawood village, Missouri",584,119
1600000US2900964,"Alton city, Missouri",583,149
1600000US2929422,"Greentop city, Missouri",583,122
1600000US2932536,"Holcomb city, Missouri",580,143
1600000US2930754,"Hartville city, Missouri",578,120
1600000US2939602,"Laddonia city, Missouri",577,149
1600000US2963110,"Rosebud city, Missouri",573,136
1600000US2914770,"Cleveland city, Missouri",572,98
1600000US2941402,"Leeton city, Missouri",570,161
1600000US2907989,"Branson West city, Missouri",569,130
1600000US2938216,"Kelso village, Missouri",568,130
1600000US2924688,"Flint Hill city, Missouri",564,108
1600000US2956306,"Parkway village, Missouri",561,163
1600000US2960428,"Qulin city, Missouri",554,141
1600000US2979756,"Wilbur Park village, Missouri",554,127
1600000US2958916,"Polo city, Missouri",551,111
1600000US2929134,"Green City city, Missouri",550,124
1600000US2909838,"Burlington Junction city, Missouri",550,134
1600000US2936332,"Jamesport city, Missouri",548,115
1600000US2929476,"Greenville city, Missouri",546,159
1600000US2951680,"New Bloomfield city, Missouri",544,117
1600000US2948980,"Missouri City city, Missouri",543,162
1600000US2971512,"Summersville city, Missouri",541,163
1600000US2931924,"Higbee city, Missouri",541,126
1600000US2910144,"Butterfield city, Missouri",538,145
1600000US2924058,"Ferrelview village, Missouri",538,149
1600000US2933850,"Huntleigh city, Missouri",533,184
1600000US2904132,"Bell City city, Missouri",528,109
1600000US2922600,"Essex city, Missouri",526,147
1600000US2909642,"Bull Creek village, Missouri",524,146
1600000US2921250,"Edgerton city, Missouri",517,144
1600000US2968384,"Smithton city, Missouri",517,126
1600000US2925894,"Freeman city, Missouri",517,111
